Element Label,S11,S22,S33,S12,S13,S23,Mises
1,-1579.6235,-11121.413,-7356.4917,-2079.1267,-1454.9873,-7822.1787,16497.728515625
2,-824.73,3167.845,14163.984,3541.8625,2436.058,1502.5284,15587.4599609375
3,-3014.6938,-4238.8325,-6787.7246,3726.112,-775.1781,2613.6663,8663.9345703125
4,2282.2097,-5207.555,-3363.0752,-2793.461,-3448.244,1876.0588,10738.9091796875
5,-14168.283,2964.0725,2040.6619,-1912.3201,-504.45227,-7467.285,21390.779296875
6,10271.968,14887.361,6015.5522,5697.503,-2141.5244,-12687.742,25556.669921875
7,-5821.811,-11684.335,-12647.821,1330.8618,2304.6765,5452.314,12303.548828125
8,3056.3037,-5600.8413,2611.1353,8662.792,-1579.0857,12576.914,27900.5234375
9,298.32568,12773.056,11196.449,10937.657,-2396.0251,-8798.765,27327.8515625
10,-249.37317,-7399.014,-12306.42,-8089.6553,1720.7443,10861.0625,25872.470703125
11,6474.6147,415.38745,2953.811,-9990.706,834.48083,-4181.076,19538.49609375
12,5036.6914,9661.104,7422.9736,-12029.294,-8795.025,849.62897,26160.640625
13,-157.99463,7224.982,3590.9678,-5967.204,3115.2063,6586.725,17520.71484375
14,10322.594,12212.151,-11553.894,-12388.845,262.76135,4181.607,32196.3203125
15,5495.7456,4276.899,3687.8218,-523.43024,-276.23273,366.28662,2000.9853515625
16,33162.11,1333.141,26468.79,3322.7703,3513.1592,-8905.87,33954.8984375
17,-32198.748,-29678.416,-34164.543,6657.738,6164.9277,1116.539,16306.6328125
18,18598.535,1942.719,-24017.8,4879.2563,-2746.0054,-5571.7397,39635.01171875
19,2325.1453,350.4587,1394.3275,61.180775,581.9825,-127.62908,2000.98547363281
20,-10435.082,-6866.398,5035.5386,-11603.847,3066.218,-3657.1423,25867.79296875
21,-7811.5127,13176.48,19015.379,521.5882,-458.48175,-8836.773,28859.103515625
22,27705.314,17863.953,46176.332,-441.37045,6437.9185,-12648.257,34995.296875
23,-11521.532,-11595.324,4380.5986,-8815.624,-641.9147,-894.6283,22154.8984375
24,-3715.6711,-12288.719,-23471.037,-7443.3047,3703.315,1548.0005,22559.89453125
25,-29353.006,-27076.658,-5083.0376,8548.505,7008.762,3007.2112,30540.060546875
26,-10111.869,-20929.635,-21881.156,12272.8955,-52.3712,-12199.297,32040.15234375
27,-2631.913,-5020.869,22677.79,8245.613,-3882.0933,-9566.367,35078.203125
28,16658.326,-3363.7527,10803.952,2894.9065,-14309.028,-2319.5547,31200.447265625
29,1781.4966,-20742.54,10578.844,-3262.7246,1718.1624,-1536.128,28822.7109375
30,-7778.5615,-14196.258,-5547.2793,-1109.6554,8758.91,14851.013,30919.126953125
31,7317.2783,-3014.2566,-5451.0806,-6437.1387,-2817.0425,-18145.887,35690.22265625
32,-8992.757,-1573.5825,-6107.705,19267.123,5075.61,-7984.631,37738.27734375
33,-14761.69,-2619.9114,-10958.221,9840.302,-879.5434,7.0097857,20211.97265625
34,2227.0454,-13625.672,-11323.178,-5675.6387,13003.177,-4965.1226,29965.865234375
35,-2823.0498,-11154.164,20865.621,-5231.9614,-14495.903,1541.5193,39338.9921875
36,-715.2932,2438.7886,-14876.295,10379.882,-6043.8433,-4710.3447,27468.51171875
37,-1658.4706,3151.474,19036.764,-5607.629,-577.02496,7612.6777,24921.462890625
38,-24619.422,-1626.6885,-25994.55,8909.262,7491.0938,-325.21057,31128.22265625
39,-5599.475,-1687.2495,10882.374,12842.629,-410.57626,-6370.0776,28974.3828125
40,-11009.123,2145.7432,9532.018,8657.992,3141.6372,2220.7085,24373.341796875
41,5414.645,-5553.4844,5135.4443,3090.576,4614.707,-1555.2753,14734.7783203125
42,-5817.158,4148.7563,-2931.191,3159.8965,-1132.0695,-8065.8286,17545.919921875
43,-11135.209,-25428.096,-2328.796,-3257.9136,698.79443,-2184.1052,21338.380859375
44,18421.908,-10399.929,5918.0703,936.8652,-17574.684,3052.4126,39797.66015625
45,531.77997,12148.452,6941.19,5292.5234,16768.191,-11524.596,37783.1953125
46,-11297.711,-12893.234,-12579.829,-610.1969,-13.192576,497.50284,2000.9853515625
47,2705.5396,2562.7454,3560.674,167.68144,-412.06128,919.50256,2000.98547363281
48,5053.272,5141.446,6170.314,-632.3385,-713.60626,-199.6844,2000.98547363281
49,-42017.535,-30850.469,-32419.996,-1391.2169,-5949.3057,-3434.8513,16031.953125
50,-8566.096,-2210.455,19449.738,-13996.839,6496.2417,-5389.09,38061.625
51,3441.7383,1716.7151,2080.986,467.7744,-395.39716,364.44702,2000.9853515625
52,-28631.555,-37785.918,-14972.456,12474.156,-87.35362,1199.2905,29437.48046875
53,-410.22882,6439.4204,17455.95,-2135.109,17243.775,-1705.1686,34032.08984375
54,4051.7122,31076.783,29658.014,-1684.8796,-1278.156,-11870.672,33618.1640625
55,1613.094,12073.437,282.89047,-6243.8384,16645.676,-9819.969,36913.27734375
56,-4214.504,20069.184,18012.969,1551.1852,-8702.637,262.24805,27903.86328125
57,6711.7705,12080.23,-7995.114,-7626.2812,6492.237,-16200.588,37581.52734375
58,-11098.43,23333.082,1812.3834,-5710.641,1764.2095,-4334.272,32729.322265625
59,-10786.066,1483.2604,-6965.4375,-5152.2925,-515.50604,-9696.921,21926.775390625
60,-6997.436,2637.5354,-35149.965,-932.36774,-5344.0757,2799.6746,35615.25390625
61,5370.3936,-4990.927,11232.896,4451.858,-7798.768,1605.2903,21263.103515625
62,-624286.8,-618538.8,-626211.6,2181.0066,5621.129,-3213.0571,13705.5126953125
63,-275550.62,-265529.75,-283081.78,2711.573,4328.2446,-4306.0137,19143.91015625
64,6979.152,-5184.674,5235.812,21265.068,-4422.103,-2654.9246,39575.40234375
65,108238.26,110039.35,99993.78,8808.131,17795.07,3514.823,36136.81640625
66,-6321.716,-35212.684,-5734.244,-8737.146,-1061.7366,-12179.242,39107.578125
67,-25773.066,-9361.915,6908.568,-4506.5195,14376.241,1302.2478,38563.125
68,-265.5437,1528.6742,28639.193,2074.7104,14231.812,-5570.793,38736.15234375
69,-8068.362,5202.315,22711.629,-6526.8745,11048.699,-9186.031,38238.96484375
70,15525.015,4864.746,-16892.414,1640.5724,3835.011,-15503.283,39902.43359375
71,1663.5312,848.2237,15467.274,-469.7138,19085.557,-8818.992,39105.2890625
72,6456.871,-3224.9976,-24289.023,-12769.12,-4929.4595,-6791.8604,37971.16015625
73,14508.282,19077.217,9146.498,6870.8716,20379.697,1234.3652,38292.49609375
74,20459.004,18983.213,23489.762,12661.916,1837.6913,-1417.1061,22648.71875
75,4297.0913,-140.49158,4183.499,806.85925,-334.2184,3413.4937,7512.98583984375
76,-18693.742,-12570.411,-41577.574,-11620.88,-8804.994,-2079.5146,36769.3046875
77,9013.111,7467.416,585.34247,-1194.8442,8784.207,-18292.027,36054.87890625
78,21789.531,11806.781,728.3117,-5673.4663,-5146.7354,6249.251,25023.431640625
79,-8843.497,10127.683,7420.988,-11463.211,-13911.039,-1146.2274,35980.421875
80,2386.3074,1486.107,1141.5796,523.65186,-356.88806,-721.10986,2000.98547363281
81,-4552.6787,-6686.0625,-15905.7705,-3166.158,-11573.98,9041.708,28043.283203125
82,-36194.426,-23846.266,-28630.205,4894.5806,-2665.0095,14598.265,29134.1015625
83,-9007.959,-9582.14,-10790.653,617.5504,173.17291,-308.6407,2000.98559570313
84,4427.7627,-6304.3696,-3333.8782,-5643.8735,12341.746,2840.7847,25862.115234375
85,6766.7207,-26384.857,13558.393,-2802.5012,-5106.334,-4258.092,39070.3046875
86,224.36806,9840.933,3400.4097,-9213.642,-443.1138,13.815124,18091.05078125
87,-28462.932,-22673.346,-42579.027,-18284.734,-5101.7188,3578.876,37868.3515625
88,-2229.955,2604.8433,-23043.18,2123.1165,9097.339,-15880.391,39693.33984375
89,28477.912,9856.5205,50585.164,2728.2158,-6030.2344,7702.2744,39453.140625
90,-1080.8821,8698.957,-2776.6528,-5090.789,-3760.683,2977.8708,16182.8623046875
91,-428.67822,10213.435,-3258.3157,-522.2165,-12193.731,17571.99,39045.85546875
92,29.44751,12221.807,-5761.134,-4176.6235,5603.953,5171.1455,21898.697265625
93,-1645.3076,29563.031,15351.901,-7954.9053,-2486.5442,13827.457,38915.25
94,3793.4185,11858.644,1031.0234,-8811.323,6555.2456,19469.86,39925.1328125
95,-11161.023,10603.773,22396.236,-9046.465,9520.966,6201.5513,38759.11328125
96,-138631.97,-125130.06,-130504.28,-4196.0513,3902.4836,3944.9636,16846.91015625
97,44026.293,46651.0,61926.31,1638.9352,-4573.1914,3221.2993,19551.169921875
98,-10483.723,-3520.177,-1663.3875,10581.607,-7534.3306,-1215.8025,23989.84375
99,-16374.385,3461.0872,14172.014,-797.12006,-4.276249,3085.0942,27405.947265625
100,-22562.098,3793.0762,-10305.263,-9685.513,-9627.0205,10292.195,37403.8515625
101,-6996.5005,-2573.1357,-19470.252,8666.437,-8220.665,8353.857,29457.712890625
102,-3775.2305,8568.152,7355.1255,-12920.7,-6872.8843,-5928.616,29779.96484375
103,-40563.465,-35292.996,-17571.889,3443.5005,-16566.113,-7295.8423,38128.51171875
104,1520.5044,-14993.125,1712.8523,7644.642,5654.67,-7331.663,26616.173828125
105,12835.388,-8632.547,2105.9185,3753.3708,-7114.159,2833.9258,23745.416015625
106,-9871.565,7230.407,23736.057,4195.306,-6794.766,-5988.343,33853.8359375
107,-936.1119,-1324.9478,-3703.4585,12342.554,4699.9727,-564.9276,23042.9140625
108,-16744.152,2794.1033,-10364.607,8162.4785,2433.5076,11172.715,29831.6875
109,35998.965,-5053.863,23988.107,-7402.469,3899.4216,-1658.2656,39430.58984375
110,-5581.332,-18355.297,19860.652,-8399.82,-8844.329,1463.1217,39852.51953125
111,20498.291,-9155.874,-2423.8872,8138.474,2532.2917,7891.6343,33612.9921875
112,13302.039,-8086.9453,-14507.23,-5469.9814,-11408.376,-6041.7026,35010.765625
113,175941.61,172001.52,178952.66,-12063.91,-7463.8135,-8395.437,29182.939453125
114,-11649.622,-10373.769,-10690.38,-7190.13,14097.896,-14675.186,37399.91015625
115,-7563.589,-6995.7705,16665.072,-4996.4346,15244.964,-6162.754,38205.38671875
116,13746.038,15133.278,13610.254,7554.45,20754.195,4910.8696,39216.0703125
117,-1808.9739,1901.0878,12991.268,-11087.264,-6741.396,-1454.6497,26255.884765625
118,-7186.997,1823.9916,-11598.547,-6005.204,-12886.482,-2485.108,27664.2578125
119,-16929.506,-8443.529,-15734.943,-143.76988,-6309.842,13836.08,27515.765625
120,-1577.3143,-26064.797,-14334.248,4936.975,-8477.08,6832.3193,29643.4921875
121,11089.845,11163.381,9368.167,38.066475,-233.65225,496.53033,2000.98522949219
122,2925.686,8622.706,-485.04398,-7947.2803,-2616.8242,-12666.3125,27474.490234375
123,-5674.714,-7351.733,-12064.311,10958.494,-4976.703,-1802.0948,21845.708984375
124,5987.498,-210.37598,-13998.958,2779.963,7005.2905,4934.3623,23610.361328125
125,-333.71844,-5848.012,30732.201,830.5402,-4048.1587,-4629.0103,35809.50390625
126,-4126.5073,13921.906,4024.9802,9397.52,16390.229,-5252.6226,37399.19140625
127,-31986.572,-36873.543,-46363.062,9779.163,-10374.52,6824.963,30163.50390625
128,6671.873,-14028.127,1180.6836,-3766.7002,10012.047,1416.2046,26349.189453125
129,-17120.72,-28774.123,-38170.21,-6979.831,14260.802,3990.689,33728.7265625
130,3286.4497,928.6924,29122.402,-10306.5205,-10974.344,-583.68427,37616.140625
131,-3164.2893,-4843.1133,-3842.8196,-244.16844,1506.2325,19566.04,34023.734375
132,29540.207,4435.015,45564.324,3455.7788,-1410.257,-8599.383,39407.78125
133,12867.932,13998.301,6073.0825,-1306.4911,6565.102,2813.9473,14604.9912109375
134,18663.02,14924.461,17763.89,6161.497,-3753.6348,2038.6891,13418.421875
135,16536.533,16715.924,15229.391,-509.08405,-638.88367,94.22471,2000.98559570313
136,13473.128,-8513.371,-28608.346,-2731.3704,-1635.4185,-90.97275,36870.88671875
137,3771.131,4103.9185,3250.8813,-1042.0958,-209.46184,141.29129,2000.98571777344
138,-87176.04,-84971.4,-84143.45,-8075.7153,-4282.6543,2529.5002,16650.564453125
139,9911.052,21492.408,12079.462,6555.0244,-13960.097,-2598.8003,29112.470703125
140,-34785.816,-4006.4397,-30814.932,6536.0303,-9104.595,5478.3135,36163.4140625
141,18994.117,9461.014,9373.527,-1583.2972,8631.851,1962.1685,18284.39453125
142,12830.308,8173.637,6550.416,5394.8926,13899.656,9971.916,31577.072265625
143,3472.6814,-2752.292,-14268.151,10013.238,10086.225,-15072.806,39123.01171875
144,9045.958,7159.3003,11391.951,2872.196,22531.594,534.2098,39523.5625
145,8681.889,8802.027,34446.54,1284.7402,15979.31,-4625.0044,38676.54296875
146,-20085.143,-42353.395,-8996.611,-10050.5625,8906.198,-3828.7078,38088.48046875
147,-19254.104,-16343.166,-36120.55,-5334.848,10810.291,-14944.517,38053.0234375
148,-53825.19,-40748.86,-39906.652,-16354.086,13984.543,1495.5771,39730.26171875
149,2372.6133,30394.42,41373.883,-834.53937,-8714.993,-2679.4805,38274.22265625
150,-3676.6887,10811.43,10001.499,-662.0882,7405.765,4545.7993,20656.021484375
151,6581.4707,-21126.01,-13681.777,-12366.225,-3526.7725,1294.9856,33436.1484375
152,-8052.758,-5714.529,4472.0015,9119.715,3000.879,15918.477,34201.875
153,-22956.55,-9854.444,-15905.837,14999.642,-8478.872,7065.848,34196.765625
154,3121.052,-8470.98,-5699.1753,13329.985,9745.169,-8754.571,34026.83203125
155,20895.953,1719.1317,13794.251,-2680.3252,-17773.959,-3860.1433,35999.88671875
156,23119.73,29202.08,13723.9375,6994.3447,14916.22,9767.687,35817.46484375
157,23492.725,6004.921,-10974.979,2954.5017,-4825.202,2176.565,31643.77734375
158,-17170.668,-1270.7903,-3865.2422,-12505.553,-4107.9497,-2612.1292,27541.74609375
159,-10788.531,-12890.919,-8148.997,21779.398,2160.7913,-6394.3174,39706.828125
160,-18630.26,-20694.553,503.8801,-8753.924,-13476.713,11143.254,39460.74609375
161,-11514.119,-9674.516,-7789.539,768.1787,-54.123203,-11144.533,19615.958984375
162,9072.003,10903.025,-6031.963,-7122.519,5642.3506,18818.158,39613.2109375
163,-4686.086,7640.311,10286.453,454.99487,-9408.071,10946.551,28586.65625
164,17575.334,1731.0898,36898.773,-5215.996,-6315.406,10802.743,38496.3828125
165,17613.674,7077.1455,8533.074,-426.00818,8132.714,6259.9287,20354.986328125
166,5994.4976,-10601.514,19037.72,-989.3509,12842.207,3641.7683,34633.93359375
167,-18760.246,4946.3184,-28956.203,-10487.961,-691.5448,-1893.19,35353.203125
168,13159.687,25012.799,7860.1416,-6784.629,1371.9083,-19373.557,38744.56640625
169,16871.291,7877.818,5108.53,-4104.4873,3994.3257,-11855.427,25169.720703125
170,22066.709,-17051.537,21808.959,-1658.8502,-4024.253,386.82385,39717.8671875
171,16283.15,-5776.5513,7331.3804,4056.5789,4114.886,-31.076574,21666.990234375
172,4736.215,16262.834,21476.666,-5718.3477,-632.2542,-6425.6343,21054.90234375
173,13401.906,7652.1807,4614.6343,-6590.6426,-10202.068,-9598.731,27905.453125
174,99.16573,19531.652,16918.693,-6129.385,9307.538,7749.596,29773.1484375
175,11290.43,3529.29,15149.887,6539.618,-862.20337,18161.717,35002.26171875
176,-618.27637,75.75488,-17013.418,-14364.371,1577.9364,6348.022,32062.880859375
177,15707.494,-13590.465,7973.705,3446.9624,1104.3456,10554.274,32635.55078125
178,-3238.6965,5017.1543,16859.15,-4768.7827,7328.7646,16359.125,36583.83203125
179,-12320.813,-17389.87,8827.762,-2684.9534,16709.77,716.9679,37960.23046875
180,15954.81,26807.24,47803.33,1147.9137,289.45316,13970.645,37097.3125
181,5133.0146,37605.973,10588.275,-4652.186,1385.7053,-8475.664,34544.234375
182,4480.2334,3652.413,-12125.037,-3101.9763,-2269.7646,-3410.711,18490.408203125
183,-16766.768,-7485.6953,-48910.1,2239.263,1400.9159,-7553.2876,40121.61328125
184,-23287.982,-14684.415,12777.401,-5718.068,-3618.2004,4714.012,35615.60546875
185,-93023.43,-125964.15,-121244.37,-6931.289,5547.0645,-8978.148,37817.375
186,16033.868,24164.385,11912.251,-896.01587,-7653.858,7942.931,22000.625
187,14935.153,6917.066,11195.029,-9131.503,4763.436,3252.6687,19956.28125
188,-2001.5778,1664.7208,12552.21,-3119.6807,12189.373,263.0541,25437.044921875
189,-1244775.5,-1231766.2,-1233082.8,-9644.129,-2202.3591,1769.625,21373.361328125
190,1152185.2,1134925.5,1139442.0,-6327.668,-6932.118,-10968.84,29420.59375
191,-196.15211,-5962.7495,-1091.9003,-15366.209,-4584.063,-2848.6453,28716.494140625
192,-17394.496,-6049.1196,7171.3413,8440.753,6436.4067,-9994.868,33033.3515625
193,-10964.011,-7267.481,-26324.492,-8946.97,-9147.986,-13501.484,36666.89453125
194,-1707.458,-1666.3201,29739.629,3329.2761,2512.793,11807.074,38184.328125
195,53814.848,18307.902,51089.082,-6187.812,-4681.334,2335.0989,36991.3359375
196,11981.18,24511.334,9189.118,-12089.727,12175.215,2259.3362,33140.4765625
