Element Label,S11,S22,S33,S12,S13,S23,Mises
1,16551.56,11253.583,5667.2856,3566.3647,4551.463,3147.6902,14795.25390625
2,1318.2185,10771.258,-1908.894,3060.9856,-1724.9753,-8445.465,19526.736328125
3,4407.7227,16039.643,5769.062,297.86737,-1442.985,52.068565,11306.66796875
4,-1060.9628,11483.201,-6874.7915,-1374.4984,3039.71,5464.87,19674.04296875
5,5276.759,22046.586,11532.7,-2184.3774,1319.652,-1169.8927,15462.78515625
6,12855.56,8581.537,-2605.7954,5189.08,-195.7474,-1732.1104,16767.044921875
7,15804.838,14434.076,1096.876,551.20306,-1290.6495,-744.82526,14339.2861328125
8,6328.7715,11261.514,1062.8052,-2036.5437,-1156.2603,-2312.4946,10513.5263671875
9,3878.54,11878.581,-2616.892,-2579.6658,1171.6547,1936.7654,13910.087890625
10,-939.3567,11365.301,-3313.563,-4874.5107,-1017.3573,-104.637726,16145.455078125
11,-1010.60254,-20071.8,-8752.641,-1928.1603,187.78508,2847.6084,17643.177734375
12,13236.5205,132.80078,213.98975,4764.991,-1900.4954,-3604.5952,16987.658203125
13,7556.6143,3718.2063,3674.5176,-1458.7251,-1463.43,-148.43243,5270.4453125
14,8387.682,3427.4888,-2829.4277,-4634.5234,-1342.4194,-559.84717,12867.439453125
15,16976.336,14324.95,8771.088,-7961.793,-229.26213,786.78894,15645.634765625
16,86578.11,59029.152,71738.85,15084.105,408.33752,-9724.8545,39206.52734375
17,314177.84,312779.22,312447.0,-639.50867,-227.63893,173.6195,2000.99328613281
18,2487.1213,12809.817,-8702.834,-5201.5327,-6573.4736,10840.61,30176.806640625
19,15780.078,-14744.631,5065.5483,3001.2595,859.2342,-3224.7476,27927.328125
20,36877.293,29355.033,34789.426,-1162.1265,3481.7476,-19450.74,34937.8203125
21,23152.953,13597.74,5370.0654,4118.2603,9408.102,1519.7559,23684.599609375
22,-10884.863,-4332.732,-17947.47,1369.1594,-2962.8381,-6340.819,17078.142578125
23,-84307.84,-87534.96,-83794.06,-3130.9082,-2497.823,-7513.9907,15160.5263671875
24,39131.434,35457.36,38833.24,-1376.7434,-10007.55,6535.626,21137.048828125
25,-2711.8154,10029.252,16309.617,828.4078,-11821.589,79.52911,26516.484375
