Element Label,S11,S22,S33,S12,S13,S23,Mises
1,2989.1675,2405.673,-1233.5173,-2241.4846,-525.7587,211.02644,5634.1142578125
2,-4779.363,-1476.1741,-104.1556,1002.06,67.93833,20.110683,4511.42529296875
3,2634.1887,2195.7656,497.74557,2599.634,814.56506,-739.1286,5265.3310546875
4,-882.4551,-7919.3423,-1207.0258,3302.4868,-365.30643,-67.15916,8970.6357421875
5,1302.1196,-5598.7324,-499.7743,5281.643,245.30418,-816.28864,11149.0244140625
6,-1029.0614,380.923,-4031.0203,-2062.7058,809.2563,-226.3814,5487.734375
7,8087.739,3620.0308,5082.4316,963.1949,-65.315765,260.76175,4308.76708984375
8,-11531.193,-1203.4723,-4896.2524,-143.53568,107.41741,292.70566,9083.7158203125
9,11376.929,2192.1565,5580.018,-345.65393,831.58704,677.0332,8278.228515625
10,-6011.336,-8045.2974,-3189.6067,-1307.2601,-907.336,-312.56897,5072.2880859375
11,-1318.1938,2738.5745,-1640.5504,-26.635662,-211.09366,-83.931885,4245.6982421875
12,8033.9536,1530.7504,1531.5322,-2347.5093,-773.7508,-336.45328,7807.34521484375
13,-9004.409,692.94855,-782.3311,608.7794,652.36,340.18396,9200.2509765625
14,10071.024,3818.446,-808.5487,23.804499,-1860.498,-1370.0892,10268.98046875
15,-8226.987,7152.9023,-1700.3965,-2383.5947,2863.8662,1560.2086,15090.1181640625
16,7066.093,-4129.0234,12073.762,-337.3226,-5233.721,504.4939,17022.021484375
17,7363.837,-1836.8624,-18.243118,-9930.903,-26.364956,6664.2026,22368.126953125
18,3286.358,7007.2344,489.4363,3476.2944,1852.6582,-940.78253,9015.5869140625
19,-24364.783,464.59485,-9535.171,3867.4111,-7315.182,-2349.473,26271.119140625
20,14462.618,-9746.351,-22169.445,-834.178,2496.1362,1819.3651,32739.390625
21,3106.129,-1144.4745,2735.5728,8643.894,-3409.0042,397.53162,16616.81640625
22,2108.7585,453.52545,-12785.091,1800.814,-3092.989,-520.6063,15464.6494140625
23,-1145.4037,-11224.239,-16723.742,4736.841,-1634.3434,5442.861,18747.171875
24,-6331.8687,296.58582,-1093.5667,4216.7207,-1968.9207,1796.2399,10550.1640625
25,1673.1565,11959.012,8851.526,4510.821,9419.704,-1123.7585,20359.65625
26,5271.7075,-5259.179,-6703.735,10110.812,5242.8765,1951.2007,22994.98046875
27,8445.039,3634.7603,-3908.4373,16936.861,-9489.135,-958.2896,35352.24609375
28,5206.8037,-27.010708,10006.929,6207.246,-2.9560502,-502.05417,13852.90234375
29,-6522.1113,1303.9104,-3036.1865,2447.0725,6263.8535,1627.4587,13774.4443359375
30,1327.0708,-4605.899,31107.322,-636.9691,4643.2295,-4383.363,34961.2109375
31,18703.742,10327.147,-8274.63,701.52765,-11029.49,4685.818,31690.8359375
32,-698.06836,273.08008,-8749.471,-761.92804,-506.56052,-1039.0074,8907.150390625
33,-10636.042,-603.5443,5839.392,3758.4219,1804.2617,1781.321,16384.865234375
34,2870.2544,-10463.406,8963.677,10016.854,-870.9898,-1178.0602,24568.583984375
35,-9499.62,2523.3142,-576.70435,-3762.8923,2050.884,363.35916,13129.443359375
36,-9519.554,-15939.869,2102.107,6875.706,-1718.0299,-6642.23,23107.0703125
37,-9382.641,1826.0691,-5406.691,4501.2256,-4771.4243,2146.1357,15484.77734375
38,-21299.326,-18044.977,-19699.49,-7502.692,8748.771,-3280.3875,20945.6640625
39,-462.94635,1514.3898,2658.6453,-3493.3186,360.5208,-2099.7092,7596.56787109375
40,-5744.509,-7896.17,-11336.324,-329.83255,1659.6913,-1727.4177,6434.93310546875
41,6857.4043,-1816.3231,3012.4414,-2944.367,-698.50183,1860.7081,9722.419921875
42,14856.166,190.16678,9467.683,2807.9026,-1299.6296,555.65796,13955.1474609375
43,14341.954,14671.41,26699.617,-4575.1343,-8620.826,-598.52783,20870.439453125
44,-14371.733,-15410.338,-2383.0488,106.69322,-2586.0132,-5148.011,16026.8955078125
45,-17172.158,487.2647,2171.03,-1598.328,-1282.4514,-945.8771,18965.93359375
46,-4200.0205,-18023.982,380.80734,-734.97064,352.42264,8528.29,22262.0625
47,-3390.811,13174.127,-3577.9778,-381.1734,-5729.795,-10212.837,26255.78515625
48,18132.832,-18073.87,2572.0254,-4746.5903,3119.8452,7992.1455,35750.13671875
49,14786.28,-10433.889,13598.571,1679.0648,2145.1516,5593.7305,26900.662109375
50,11267.226,5613.1533,38859.63,5016.0376,-3298.6082,205.68831,32520.298828125
51,-341.23587,-6448.56,-6706.9023,-3381.171,1140.842,421.63284,8813.5556640625
52,-4565.9,1851.662,6526.905,11285.161,-7719.256,-6240.5845,27761.603515625
53,-3682.3916,-65.508675,20703.639,-764.58887,-4878.31,16718.076,37831.0546875
54,-14756.845,-26390.22,-27300.76,6551.1836,6659.226,-4921.83,21936.734375
55,6966.6157,6192.8867,22433.977,-3556.804,-17593.48,4120.9155,35627.171875
56,-702.55975,16070.78,35198.97,6578.8906,1047.4314,540.9102,33197.75
57,710.30676,381.48788,1007.98596,-351.86633,-3745.3633,-1663.2737,7144.83935546875
58,10854.47,-2937.992,-8310.928,-844.8602,6246.9136,3027.6191,20974.24609375
59,7435.416,6500.987,3287.8145,-3490.9417,-3451.8513,-2945.8425,10608.484375
60,4861.7646,4612.797,5867.1816,670.50354,3616.0212,-3867.0942,9314.6103515625
61,-3194.5366,-1612.6609,1277.3899,-1433.329,-1092.0913,-2207.7112,6307.90576171875
