Element Label,S11,S22,S33,S12,S13,S23,Mises
1,13733.698,14629.92,-5282.6455,2317.3496,-4033.8313,-2980.4211,21703.498046875
2,22439.725,-6472.1816,14080.883,-1666.0695,-2600.9636,-14858.243,36810.63671875
3,10587.297,-10943.262,-12165.753,-16183.554,4271.4497,697.2689,36514.33984375
4,8543.976,-18297.396,7250.903,-12337.528,1004.9618,9328.118,37525.171875
5,4355.9453,-21237.775,-19473.158,-14991.282,2172.5327,4079.5305,36759.9296875
6,19030.293,4472.629,-667.8955,10167.055,12867.121,19.966549,33466.1171875
7,15384.372,3056.2314,16431.805,-13487.025,-2304.042,-2233.3098,27250.349609375
8,-2683.095,-10498.027,-5668.4624,-10147.608,-10429.038,-3452.39,26788.587890625
9,-11243.02,-26841.43,-11898.268,-8815.333,-4261.2427,11437.745,30225.6484375
10,-11820.854,-3990.0498,-29520.879,-6424.6304,5343.6245,-6782.449,29337.9140625
11,19710.035,34219.957,13254.91,1547.417,-7256.2764,-2186.4653,22920.642578125
12,19003.521,9167.497,23328.422,-6191.7627,10766.976,-14832.879,35788.71484375
13,-1044.2744,-9809.31,-17437.342,-11621.148,-6436.623,5622.25,28742.744140625
14,1123.6094,-33124.64,-16047.453,-8329.048,1314.2247,-9348.214,36812.73046875
15,26602.12,47581.67,46852.79,8798.673,-14657.612,149.1172,36086.48828125
16,3512.2927,13145.377,-5228.41,11288.8,2537.4167,3359.7583,26246.646484375
17,-6488.886,-8416.568,2897.3496,-2237.2224,-4684.2803,-3200.3965,14882.2578125
18,214414.39,215927.3,214847.42,757.02594,92.57979,-113.3923,1898.63549804688
19,27404.432,26489.107,23353.2,9243.464,-21.293236,-9885.118,23727.9375
20,9891.588,9961.878,4870.5034,-9192.809,-20348.332,-161.64505,39004.2890625
21,5703.6846,4571.273,4017.2097,-279.45645,-653.43054,301.09348,2000.98571777344
22,-124421.47,-125802.41,-126519.17,-127.186455,131.94928,-405.23563,2000.98937988281
23,92903.22,91808.664,92505.555,74.243,514.01074,-870.4764,2000.81628417969
24,24014.178,5643.3174,16932.36,10472.088,3137.186,-13413.3,33997.21875
25,17728.965,3736.8254,2882.3057,-17641.738,9310.112,4374.2876,38204.67578125
26,-16226.937,-12581.318,-10571.581,-9110.967,-5530.933,9476.182,25196.29296875
27,10681.454,27785.719,35764.695,-15702.971,-3103.5527,8941.172,38744.98828125
28,13619.2295,8273.8545,4462.5015,-9738.116,1050.861,9071.433,24457.123046875
29,12166.634,-3761.1458,33728.855,-1082.2751,-5255.4175,10790.545,38700.66796875
