Element Label,S11,S22,S33,S12,S13,S23,Mises
1,9752.109,-1099.7429,-1759.2363,3555.2883,1598.1547,-4768.763,15464.8046875
2,5616.7983,4874.005,312.4585,2107.9626,688.3809,2603.6394,7735.4169921875
3,4715.9834,9156.555,1472.6931,1357.1735,689.5023,4837.5947,11036.2421875
4,-5030.5654,-1060.5374,-2080.34,-1120.9205,4291.7866,-357.60712,8494.927734375
5,-2871.884,8718.698,2283.8826,2187.4124,662.2568,-1172.7903,10998.2529296875
6,5250.6826,6235.417,1010.3789,-1196.1578,425.41098,-1026.8606,5578.89599609375
7,2990.8481,6923.4077,2107.4685,2536.8848,-1786.7017,954.0854,7164.8046875
8,-13350.451,-4469.8267,-7636.404,978.7895,2413.5342,1911.0227,9595.6796875
9,15690.117,6864.8164,10461.887,81.36671,-5531.8745,-187.75255,12288.6181640625
10,-9772.043,-13048.554,-11959.582,9773.393,2098.5498,-1050.5685,17647.486328125
11,-1312.3468,1247.2458,-2695.1218,3999.1677,1149.1578,-1724.0187,8535.88671875
12,2934.4844,2399.8318,-2482.8608,6769.0635,-805.56744,-709.5246,12948.1591796875
13,38.126465,-912.1553,8456.947,6092.903,602.31104,329.8432,13876.77734375
14,7368.585,-16561.508,-7772.751,7002.6577,31.147524,5539.453,26052.7734375
15,-1814.0332,-15090.118,9015.781,15506.387,1256.7974,-9633.465,37971.1796875
16,14480.378,18525.479,12385.865,-1046.7799,701.48364,1650.6777,6493.07568359375
17,5670.3037,6415.7207,467.563,-3199.6682,-2280.9624,-3397.859,10604.7490234375
18,-6331.1807,-13925.002,8997.478,5397.1978,-1808.723,-11196.287,29703.724609375
19,-128757.6,-130380.34,-129201.36,637.98535,-21.356009,-473.07217,2000.98596191406
20,-35368.32,-12092.976,-18181.977,-4530.401,-3440.8982,10530.101,29442.080078125
21,9199.158,10845.857,7499.7695,18.51497,3219.3489,2975.1794,8126.9091796875
22,26806.01,4551.869,28745.125,7275.246,-9145.198,-3743.6921,31526.140625
23,-7425.183,-9734.078,-27358.768,1505.7655,8052.2437,2965.7349,24173.515625
24,10367.157,-4483.338,5361.7393,3533.16,-2338.1062,8710.012,21276.77734375
25,9505.348,9890.525,7453.2646,8953.737,1857.7788,1419.8065,16188.255859375
26,-1538.0347,-6298.7725,-5126.9224,-1641.1709,-3043.583,-2276.6147,8359.33203125
27,11597.029,6024.7314,2218.9556,-3353.1172,1446.9296,712.42017,10405.525390625
28,3605.9783,-1020.48615,-1748.2478,-2997.531,-3566.598,2332.2375,10331.3212890625
29,-363.73218,-1954.4065,-3734.1824,-335.41663,241.46759,-116.96349,3013.69604492188
30,3280.7412,6059.3623,-365.87183,6403.602,3454.5212,-706.36346,13837.17578125
31,-4527.2715,-125.50635,-10138.13,1566.0924,-2263.321,367.39496,9934.0673828125
32,-3518.7847,4998.709,-10044.175,-403.36435,21.29141,-4528.3667,15255.037109375
33,-3294.7295,878.8313,-4504.0044,2825.4058,-1305.6704,1701.4097,7853.369140625
34,11952.41,10170.581,-10810.833,1041.9923,-1054.1716,-4273.0356,23284.060546875
35,7570.634,1027.7023,-5615.5366,3631.9392,-3738.0833,2540.7888,15207.5107421875
36,7129.9336,3613.0125,2270.5476,443.5971,-1485.3856,-2351.4136,6533.6953125
37,14885.387,7224.0566,8002.3755,4678.1196,4669.611,6882.6113,18069.865234375
38,10180.1455,-28.062256,-2352.5496,8374.903,856.449,-1168.5217,18709.71484375
39,12429.048,-5956.84,3541.7349,3799.5154,1891.3937,-6648.2466,20982.4375
40,8595.764,-6247.8867,-4144.391,974.803,2527.787,13671.991,27862.609375
41,8680.701,-3881.2532,-7292.5483,1615.1017,-1638.2115,3060.1912,16008.2265625
42,13628.302,9580.826,-11141.046,7625.143,-4121.696,-6626.239,29778.58203125
43,347165.8,347880.4,349137.38,20.335503,153.83997,-354.0517,1853.95129394531
44,-2200543.5,-2199732.0,-2199877.5,369.0028,972.1972,-241.62221,1995.18530273438
45,-1013457.56,-995559.7,-1003988.4,1279.6748,14971.628,492.13245,30308.568359375
46,-28150.729,-4956.9863,-29668.736,4155.6777,3274.772,7772.89,28994.77734375
47,4045.099,6261.6216,30827.205,12822.0,9500.619,597.96594,37787.56640625
48,9958.091,13517.189,34680.69,-11175.926,-3233.5667,13572.009,38659.46484375
49,4901.155,10723.178,-7250.5386,4073.6633,-1165.5569,2568.8953,18054.486328125
50,11255.63,6220.8687,35899.78,-8909.198,-6486.2617,-2843.3865,33843.0390625
51,1464.4858,4710.08,11943.099,-6539.911,-4626.52,1836.9071,16999.234375
52,-14011.831,-5513.199,-25225.32,-3397.9023,-11749.86,-13039.093,35385.55078125
53,-11524.436,5547.152,-35119.363,-2941.9172,4740.5366,2557.2114,36931.87109375
54,-4158.868,18648.918,16333.221,-7265.9546,1197.7831,16343.259,37904.27734375
55,-7909.5815,2120.9585,4967.818,-1861.2823,-8873.929,-164.18964,19595.552734375
56,-3301.3105,-3287.7334,17222.87,1670.1853,415.15405,7662.8535,24617.2109375
57,8085.61,2469.7185,1888.2603,583.92725,6179.5493,2087.2935,12798.26171875
58,-3010.384,-597.32446,3973.0374,1462.8135,-357.6274,-1247.0916,7014.87646484375
59,-1522.7578,7112.5044,7653.5347,-813.6627,757.1434,2549.0403,10135.6376953125
60,7742.79,9950.032,2448.0312,3763.9453,1049.9594,1785.5684,9998.353515625
61,454.92578,-2566.5571,4050.418,791.4355,-72.63324,1672.8998,6573.53466796875
62,4563.872,-3519.3467,-3434.7197,7289.525,-4691.4204,8193.528,22169.869140625
63,-6230.0703,-9206.601,-10810.703,7939.1807,-2343.5444,-10117.946,22997.705078125
64,3998.2178,-3537.2173,-1466.6965,-1830.9945,1062.414,9681.87,18442.537109375
65,3585.9443,7748.57,13052.295,3551.476,-10731.017,17571.826,37109.90234375
66,2814.7703,-5703.6865,3414.0034,1063.867,4222.1304,-9366.988,19953.0390625
67,3969.1328,5989.9956,-10920.685,11437.919,-9386.801,8349.801,33494.0625
68,-123.38931,10021.025,26740.246,-2590.9172,-15642.361,-3815.2483,36741.0625
69,12023.793,-14954.602,-7555.524,-3300.1467,-4203.6064,-3374.7393,26510.6640625
70,-6942.5273,270.90918,-7097.6235,-765.7916,19667.797,686.1513,34882.875
71,-6711.734,-8286.431,-1969.7275,-6407.12,3283.0625,2439.9963,14345.150390625
72,-8580.938,-27002.512,-25225.908,5390.0674,-483.45807,-8128.975,24410.71875
73,-20426.229,-22127.736,-26056.986,-8619.81,3362.018,-6619.799,20329.728515625
74,47447.73,20885.37,63461.1,8485.848,1596.4863,399.46265,40143.4140625
75,29527.703,33307.98,62152.113,-8092.8916,7905.801,-7219.586,38673.89453125
76,14858.406,-27641.994,-2531.4224,6563.872,214.93864,-733.7617,38737.87109375
77,-6117.7393,-20576.49,-3318.8347,-19156.713,-4473.1377,-2951.3997,38006.0
78,-17615.928,-32987.65,-18123.7,17205.73,2672.7288,-7418.8965,36102.69140625
79,8220.778,-1215.1279,7523.4863,8533.248,1876.015,2777.2341,18305.4453125
80,3843.2178,7314.506,14205.629,-3173.5896,4198.343,1799.9281,13276.7080078125
81,1088.2805,122.01123,3516.6748,2148.3596,-106.9526,-3083.9368,7182.6123046875
82,5411.6323,13080.467,-4327.554,-8624.451,844.68164,-5325.8447,23210.53125
83,9408.432,14493.729,-12157.008,-3564.859,6688.96,-1993.0597,28015.41015625
84,1678.7695,7473.0605,6689.753,-2167.4148,400.16757,-1100.4832,6917.75390625
85,1547.5643,2662.8423,1541.6488,1497.2059,-5329.2646,-5282.893,13300.5791015625
86,4929.2773,5255.619,-7876.4185,-2894.6838,-1078.7031,276.5049,14040.267578125
87,-1304.7759,-3652.911,-13096.417,-2803.9644,-170.88423,-516.2794,11888.736328125
88,-3367.1409,670.98804,-3052.4565,-905.35626,-3889.134,-1043.7444,8138.67822265625
89,7464.3237,1260.9712,-99.16553,-3927.1907,2744.966,6832.064,16052.2041015625
90,5793.4365,10587.952,-3999.0654,1080.3147,-3602.9875,-1673.0326,14719.83984375
91,269.05487,3891.214,-1176.2131,-1658.7881,-2119.3135,-2388.668,7700.01513671875
92,8926.894,849.9624,9418.211,11480.813,1985.8273,-5190.8643,23612.275390625
93,10639.089,4050.9902,1747.9517,2539.2073,-512.15704,-7684.097,16159.9931640625
94,22775.56,13611.331,16353.501,3877.681,4378.6553,-6764.789,17501.0546875
95,5542.295,-10715.239,-6749.568,2813.1555,4689.746,-518.69244,17495.4765625
96,15504.432,10539.689,7835.8906,720.7035,3437.992,2584.475,10121.21484375
97,-20552.342,-10972.91,-24759.004,-352.6142,-3477.2417,-8507.517,20088.28125
98,-4755.155,2009.8528,-3199.9316,-12232.011,13233.083,3991.636,32552.60546875
99,330.31204,-11413.772,-25380.883,62.23937,5677.7407,-4294.113,25476.943359375
100,14159.731,4320.9434,5123.8994,3895.7988,9037.378,-5855.883,21976.689453125
101,-632.8703,9074.775,-5499.054,-1872.4474,-4172.9185,-1209.3203,15241.4775390625
102,8006.5835,16214.644,10759.462,1332.3464,-4858.6777,-775.49646,11415.1064453125
103,-4878.002,2808.5103,-11896.357,1108.6691,-1675.696,3789.827,14747.4111328125
104,2907.5352,13577.682,3426.1047,1384.7379,267.13065,-2869.1572,11800.4443359375
105,12032.163,-4134.5034,-610.645,1844.1565,5723.0767,-2459.3933,18531.568359375
